price,location,surface,rooms,heating,furniture,type,elevator,garage,infrastructure,floor,yearOfBuild,state
61800,Tatarsko Brdo,38,1.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,2010.0,novo
61800,Futoški put,29,2.0,podno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,2,2010.0,u izgradnji
126900,Telep,91,4.0,podno grejanje,0,Stan u zgradi,ima lift (1),2,terasa,1,2010.0,novo
89050,Lipov Gaj,51,2.0,podno grejanje,0,Stan u zgradi,ima lift (1),2,terasa,1,2010.0,novo
147600,Bulevar Oslobođenja,47,2.0,centralno grejanje,2,Stan u zgradi,ima lift (2),2,"prilaz za invalide, terasa, recepcija",1,2010.0,luksuzno
207150,Detelinara,96,4.0,centralno grejanje,2,Stan u zgradi,ima lift (1),2,terasa,1,2022.0,luksuzno
105060,Nova Detelinara,43,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),2,terasa,4,2010.0,luksuzno
131840,Bulevar Patrijarha Pavla,55,3.0,grejanje na gas,2,Stan u zgradi,ima lift (1),2,terasa,3,2017.0,luksuzno
185400,Adice,99,7.0,grejanje na gas,2,Stan u zgradi,ima lift (1),2,terasa,2,2020.0,luksuzno
206000,Nova Detelinara,96,4.0,centralno grejanje,2,Stan u zgradi,ima lift (1),2,terasa,3,2000.0,luksuzno
340000,Liman 2,86,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),2,terasa,3,1984.0,luksuzno
99000,Telep,42,2.0,grejanje na gas,2,Stan u zgradi,ima lift (1),2,terasa,3,2022.0,luksuzno
59740,Novo Naselje,35,1.0,centralno grejanje,2,Stan u zgradi,ima lift (1),2,terasa,4,1998.0,luksuzno
84460,Sajmište,33,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),2,terasa,6,2005.0,u izgradnji
101970,Stari Grad,42,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),2,terasa,1,2005.0,u izgradnji
108080,Podbara,44,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,1,2023.0,u izgradnji
270000,Stari Grad,119,4.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,1,1939.0,uobičajeno stanje
46000,Petrovaradin,27,1.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,1,1939.0,u izgradnji
82500,Bulevar Patrijarha Pavla,36,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,2,2008.0,uobičajeno stanje
198800,Stari Grad,76,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,2,1900.0,uobičajeno stanje
230000,Bulevar Oslobođenja,96,4.0,centralno grejanje,2,Stan u zgradi,ima lift (2),1,terasa,4,1900.0,renovirano
200000,Bulevar Oslobođenja,110,4.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,"dvorište, alarm, podrum",5,2020.0,luksuzno
122000,Nova Detelinara,56,3.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,1,2010.0,luksuzno
110000,Socijalno,50,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,"prilaz za invalide, dvorište, terasa, lođa",9,2010.0,luksuzno
173200,Sajmište,63,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,"dvorište, terasa",1,2020.0,novo
92000,Petrovaradin,89,4.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,"dvorište, terasa",2,2020.0,novo
128750,Telep,77,3.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,2020.0,novo
199000,Stari Grad,76,3.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,2,2020.0,novo
118450,Železnička stanica,56,3.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,"prilaz za invalide, terasa, lođa",5,2020.0,renovirano
92499,Petrovaradin,40,2.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,"dvorište, alarm, terasa",2,2020.0,novo
126850,Adice,91,4.0,podno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2020.0,novo
101000,Telep,55,3.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,2,2010.0,uobičajeno stanje
247200,Novo Naselje,83,4.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,2014.0,uobičajeno stanje
136500,Grbavica,49,2.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,7,2014.0,novo
160700,Novo Naselje,71,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,"podrum, terasa",3,2014.0,uobičajeno stanje
73550,Stari Grad,42,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,"podrum, terasa",1,2014.0,uobičajeno stanje
245000,Podbara,85,4.0,grejanje na gas,2,Stan u zgradi,ima lift (1),1,"dvorište, alarm, terasa",2,2016.0,novo
711000,Bulevar Evrope,230,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,11,2016.0,novo
540000,Spens,163,5.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terase (3+),2,2000.0,održavano
171065,Telep,72,3.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,3,2000.0,novo
123600,Telep,57,3.0,grejanje na gas,1,Stan u zgradi,ima lift (1),1,terasa,1,2000.0,novo
