price,location,surface,rooms,heating,furniture,type,elevator,garage,infrastructure,floor,yearOfBuild
207600,Stari Grad,72,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2023.0
129380,Adice,81,4.0,podno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2023.0
100625,Veternik,75,4.0,podno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2023.0
134444,Veternik,81,4.0,podno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,2,2023.0
270000,Železnička stanica,125,4.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,2,1998.0
87650,Podbara,45,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,1998.0
71370,Novo Naselje,33,2.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,1,1998.0
135000,Adamovićevo Naselje,60,3.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,1998.0
113000,Nova Detelinara,50,2.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,1,1998.0
131976,Podbara,55,3.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,1998.0
127300,Podbara,51,3.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,1998.0
164590,Petrovaradin,79,4.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,2,1998.0
135000,Adamovićevo Naselje,60,3.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,1998.0
92000,Stari Grad,29,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,3,1998.0
83316,Veternik,45,3.0,podno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,2,1998.0
164500,Rotkvarija,56,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,1,1998.0
197760,Stari Grad,108,5.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,2,1998.0
310000,Liman 4,108,3.0,grejanje na gas,2,Penthaus,ima lift (1),1,terasa,8,1998.0
126440,Petrovaradin,64,3.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,1998.0
35000,Petrovaradin,50,2.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,1998.0
117500,Podbara,48,3.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,3,1998.0
82400,Detelinara,52,2.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,3,1970.0
288500,Stari Grad,154,5.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,5,1970.0
88690,Telep,41,2.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,1970.0
346600,Liman 3,102,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,2,1970.0
122570,Stari Grad,41,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,4,1970.0
113300,Novo Naselje,63,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,1,1979.0
110500,Sajmište,38,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2024.0
94000,Adice,58,4.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2024.0
58980,Telep,29,2.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,2,2023.0
193500,Socijalno,67,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2014.0
249000,Tatarsko Brdo,117,4.0,grejanje na gas,2,Stan u zgradi,ima lift (1),1,terase (2),1,2014.0
185000,Liman,77,3.0,centralno grejanje,0,Stan u zgradi,ima lift (2),1,terase (2),12,2014.0
96000,Bulevar Patrijarha Pavla,42,2.0,grejanje na gas,2,Stan u zgradi,ima lift (2),1,terasa,2,2014.0
131500,Sajmište,46,2.0,centralno grejanje,0,Stan u zgradi,ima lift (2),1,"dvorište, podrum",2,2014.0
109000,Petrovaradin,53,3.0,grejanje na gas,1,Stan u zgradi,ima lift (1),1,"dvorište, podrum",1,2014.0
150000,Podbara,49,2.0,grejanje na gas,2,Stan u zgradi,ima lift (1),1,terasa,4,2014.0
97430,Telep,49,3.0,grejanje na gas,2,Stan u zgradi,ima lift (1),1,terasa,1,2014.0
97850,Bulevar Evrope,41,2.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,3,2014.0
139050,Bulevar Evrope,71,3.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,3,2014.0
59740,Detelinara,24,1.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,6,2014.0
138980,Bulevar Patrijarha Pavla,66,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terase (2),4,2014.0
54600,Novo Naselje,22,1.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terase (2),3,1990.0
132870,Nova Detelinara,83,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,5,1990.0
60500,Novo Naselje,24,1.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,1990.0
167890,Nova Detelinara,93,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,5,1990.0
59250,Telep,23,1.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,3,2005.0
124630,Liman 4,53,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,"prilaz za invalide, terasa",1,2005.0
108900,Nova Detelinara,45,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,2,2006.0
113300,Nova Detelinara,45,2.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,4,2006.0
160000,Grbavica,91,3.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,1,2006.0
134400,Petrovaradin,87,4.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,4,2010.0
125900,Klisa,81,4.0,podno grejanje,0,Stan u zgradi,ima lift (1),1,"terasa, lođa",1,2010.0
131600,Podbara,71,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,3,2009.0
89610,Bulevar Oslobođenja,30,1.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,5,2009.0
82400,Petrovaradin,45,2.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,2009.0
120000,Nova Detelinara,66,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terase (2),1,2009.0
53000,Klisa,24,1.0,grejanje na gas,2,Stan u zgradi,ima lift (1),1,terase (2),1,2009.0
62600,Novo Naselje,30,1.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terase (2),1,2009.0
144720,Novo Naselje,77,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,4,2009.0
175100,Liman,69,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,4,2009.0
47000,Klisa,28,1.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2020.0
99800,Socijalno,39,2.0,grejanje na gas,2,Stan u zgradi,ima lift (1),1,terasa,1,2020.0
169950,Bulevar Patrijarha Pavla,83,4.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,2020.0
76390,Podbara,26,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2020.0
118450,Socijalno,46,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,4,2020.0
103000,Bulevar Oslobođenja,35,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,3,2020.0
118900,Podbara,48,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,5,2020.0
145300,Podbara,59,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2020.0
100940,Nova Detelinara,44,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,4,2020.0
