,price,location,surface,rooms,heating,furniture,type,elevator,garage,infrastructure,floor,yearOfBuild,state
65,55620,Avijatičarsko Naselje,27,1.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2024.0,u izgradnji
66,144200,Grbavica,47,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,"prilaz za invalide, dvorište, terasa",1,2010.0,novo
67,216300,Kej,107,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,"prilaz za invalide, dvorište, terasa",1,2010.0,renovirano
68,64700,Futoški put,33,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,"prilaz za invalide, dvorište, terasa",2,2010.0,renovirano
69,110000,Nova Detelinara,45,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,"prilaz za invalide, dvorište, terasa",4,2010.0,renovirano
70,54500,Novo Naselje,28,1.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,"prilaz za invalide, dvorište, terasa",1,2010.0,renovirano
71,92700,Tatarsko Brdo,72,4.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,"terasa, lođa",1,2010.0,novo
72,61800,Tatarsko Brdo,38,1.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,2010.0,novo
73,61800,Futoški put,29,2.0,podno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,2,2010.0,u izgradnji
74,126900,Telep,91,4.0,podno grejanje,0,Stan u zgradi,ima lift (1),2,terasa,1,2010.0,novo
75,89050,Lipov Gaj,51,2.0,podno grejanje,0,Stan u zgradi,ima lift (1),2,terasa,1,2010.0,novo
76,147600,Bulevar Oslobođenja,47,2.0,centralno grejanje,2,Stan u zgradi,ima lift (2),2,"prilaz za invalide, terasa, recepcija",1,2010.0,luksuzno
77,207150,Detelinara,96,4.0,centralno grejanje,2,Stan u zgradi,ima lift (1),2,terasa,1,2022.0,luksuzno
78,105060,Nova Detelinara,43,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),2,terasa,4,2010.0,luksuzno
79,131840,Bulevar Patrijarha Pavla,55,3.0,grejanje na gas,2,Stan u zgradi,ima lift (1),2,terasa,3,2017.0,luksuzno
80,185400,Adice,99,7.0,grejanje na gas,2,Stan u zgradi,ima lift (1),2,terasa,2,2020.0,luksuzno
81,206000,Nova Detelinara,96,4.0,centralno grejanje,2,Stan u zgradi,ima lift (1),2,terasa,3,2000.0,luksuzno
82,340000,Liman 2,86,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),2,terasa,3,1984.0,luksuzno
83,1,Železnička stanica,19,1.0,centralno grejanje,2,Stan u zgradi,ima lift (1),2,terasa,5,1968.0,luksuzno
84,99000,Telep,42,2.0,grejanje na gas,2,Stan u zgradi,ima lift (1),2,terasa,3,2022.0,luksuzno
85,59740,Novo Naselje,35,1.0,centralno grejanje,2,Stan u zgradi,ima lift (1),2,terasa,4,1998.0,luksuzno
86,84460,Sajmište,33,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),2,terasa,6,2005.0,u izgradnji
87,101970,Stari Grad,42,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),2,terasa,1,2005.0,u izgradnji
88,108080,Podbara,44,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,1,2023.0,u izgradnji
89,270000,Stari Grad,119,4.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,1,1939.0,uobičajeno stanje
90,46000,Petrovaradin,27,1.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,1,1939.0,u izgradnji
91,82500,Bulevar Patrijarha Pavla,36,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,2,2008.0,uobičajeno stanje
92,198800,Stari Grad,76,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,2,1900.0,uobičajeno stanje
