,cene,adrese,sobe,grejanje,infrastructure,namestenost,opremljenost,povrsina,spratnost,tip
735,177900.0,BULEVAR OSLOBODJENJA,3,centralno grejanje,terasa,prazno,"klima, kuhinjski elementi, sudo mašina, zamrzivač, rerna, šporet, plakar",73 ,6,Stan u zgradi
736,231500.0,SONJA MARINKOVIĆ,3,centralno grejanje,lođa,prazno,"klima, kuhinjski elementi, sudo mašina, zamrzivač, rerna, šporet, plakar",75 ,visoko,Stan u zgradi
737,89500.0,JANKA VESELINOVIĆA,2,centralno grejanje,terasa,namešteno,"klima, kuhinjski elementi, sudo mašina, zamrzivač, rerna, šporet, plakar",39 ,5,Stan u zgradi
738,119480.0,STJEPANA MITROVA LJUBIŠE,3,centralno grejanje,terasa,namešteno,"klima, rerna, šporet",52 ,1,Stan u zgradi
739,105000.0,Miše Dimitrijevića,2,centralno grejanje,terase (2),polunamešteno,"klima, rerna, šporet",44 ,suteren,Stan u zgradi
740,64900.0,Olivere Marković,1.5,grejanje na gas,terasa,namešteno,klima,37 ,2,Stan u zgradi
741,190550.0,Klisa - Vikend Naselje,4,grejanje na gas,terasa,namešteno,klima,83 ,prizemlje,Stan u zgradi
742,82740.0,Futog,3,grejanje na gas,terasa,prazno,klima,57 ,1,Stan u zgradi
743,71070.0,Koste Racina,0.5,centralno grejanje,"dvorište, terasa",namešteno,"telefon, kablovska, TV, klima, veš mašina, kuhinjski elementi, frižider, zamrzivač, mikrotalasna rerna, rerna, šporet, ležaj, plakar",28 ,3,Stan u zgradi
744,158620.0,Liman 4,2,centralno grejanje,terasa,namešteno,"telefon, kablovska, TV, klima, veš mašina, kuhinjski elementi, frižider, zamrzivač, mikrotalasna rerna, rerna, šporet, ležaj, plakar",59 ,3,Stan u zgradi
745,79570.0,Nova Detelinara,2,centralno grejanje,terasa,namešteno,"telefon, kablovska, TV, klima, veš mašina, kuhinjski elementi, frižider, zamrzivač, mikrotalasna rerna, rerna, šporet, ležaj, plakar",45 ,5,Stan u zgradi
746,124650.0,Klisa,3,centralno grejanje,terasa,namešteno,"telefon, kablovska, TV, klima, veš mašina, kuhinjski elementi, frižider, zamrzivač, mikrotalasna rerna, rerna, šporet, ležaj, plakar",63 ,1,Stan u zgradi
747,76500.0,Petrovaradin,2,centralno grejanje,terasa,namešteno,"telefon, kablovska, TV, klima, veš mašina, kuhinjski elementi, frižider, zamrzivač, mikrotalasna rerna, rerna, šporet, ležaj, plakar",42 ,5,Stan u zgradi
748,115180.0,Petrovaradin,3,centralno grejanje,terasa,namešteno,"telefon, kablovska, TV, klima, veš mašina, kuhinjski elementi, frižider, zamrzivač, mikrotalasna rerna, rerna, šporet, ležaj, plakar",68 ,5,Stan u zgradi
749,46350.0,Adice,1.5,grejanje na gas,terasa,prazno,"telefon, kablovska, klima",27 ,prizemlje,Stan u zgradi
750,121100.0,Nova Detelinara,2.5,grejanje na gas,terasa,prazno,"telefon, kablovska, klima",49 ,visoko,Stan u zgradi
751,85500.0,Centar,2,centralno grejanje,terasa,prazno,"telefon, kablovska, klima",50 ,prizemlje,Stan u zgradi
752,113300.0,Bulevar Patrijarha Pavla (Somborski Bulevar),2,centralno grejanje,terasa,prazno,"telefon, kablovska, klima",55 ,3,Stan u zgradi
753,189000.0,Bulevar Evrope,4,grejanje na gas,terasa,prazno,"telefon, kablovska, klima",106 ,5,Stan u zgradi
754,95000.0,Nova Detelinara,2.5,grejanje na gas,terasa,prazno,"telefon, kablovska, klima",53 ,5,Stan u zgradi
755,97850.0,Nova Detelinara,3,centralno grejanje,terasa,prazno,"telefon, kablovska, klima",54 ,5,Stan u zgradi
756,177400.0,Bulevar Oslobodjenja,2.5,centralno grejanje,terasa,prazno,"telefon, kablovska, klima",57 ,6,Stan u zgradi
757,162200.0,Kej,3,centralno grejanje,terasa,prazno,"telefon, kablovska, klima",63 ,3,Stan u zgradi
758,247200.0,Nova Detelinara,3,centralno grejanje,terasa,prazno,"telefon, kablovska, klima",99 ,5,Stan u zgradi
759,140910.0,Nova Detelinara,2.5,centralno grejanje,terasa,prazno,"telefon, kablovska, klima",57 ,2,Stan u zgradi
760,82399.0,Stari Majur,2,centralno grejanje,terasa,prazno,"telefon, kablovska, klima",38 ,1,Stan u zgradi
761,339900.0,Popovica,4,grejanje na gas,terase (2),prazno,"telefon, kablovska, klima",153 ,1,Stan u zgradi
