,cene,adrese,sobe,grejanje,infrastructure,namestenost,opremljenost,povrsina,spratnost,tip
1848,122000.0,Nova Detelinara,3,centralno grejanje,terasa,1,1,66 ,1,Stan u zgradi
1849,129700.0,Adice,4,centralno grejanje,terasa,1,1,79 ,1,Stan u zgradi
1850,168657.0,Telep,3,grejanje na gas,terasa,3,1,66 ,visoko,Stan u zgradi
1851,227790.0,Telep,4,grejanje na gas,terasa,3,1,89 ,visoko,Stan u zgradi
1852,399200.0,Telep,5,grejanje na gas,terasa,3,1,156 ,1,Stan u zgradi
1853,354550.0,Telep,5,grejanje na gas,terasa,3,1,139 ,2,Stan u zgradi
1854,88580.0,Stari majur,1.5,grejanje na gas,terasa,3,1,43 ,3,Stan u zgradi
1855,144200.0,Podbara,2.5,centralno grejanje,terasa,3,3,49 ,1,Stan u zgradi
1856,61000.0,Adice,1.5,grejanje na gas,terasa,3,3,28 ,2,Stan u zgradi
1857,60770.0,Veternička Rampa,1.5,grejanje na gas,terasa,3,3,27 ,1,Stan u zgradi
1858,71070.0,Detelinara,2,centralno grejanje,terasa,3,3,47 ,visoko,Stan u zgradi
1859,179350.0,Centar,3,centralno grejanje,"podrum, terasa",3,3,81 ,visoko,Salonac
1860,61800.0,Veternička Rampa,1.5,centralno grejanje,terasa,3,3,28 ,2,Stan u zgradi
1861,177679.0,Bulevar Oslobođenja,2,centralno grejanje,terasa,3,3,69 ,3,Stan u zgradi
1862,63860.0,Veternička Rampa,1.5,centralno grejanje,terasa,3,3,28 ,1,Stan u zgradi
1863,121730.0,Somborska rampa,3.5,grejanje na gas,terase (2),3,3,74 ,visoko,Stan u zgradi
1864,56650.0,Satelit,1,centralno grejanje,terasa,3,3,33 ,2,Stan u zgradi
1865,128750.0,Socijalno,2.5,centralno grejanje,terasa,3,3,49 ,3,Stan u zgradi
1866,139050.0,Jugovićevo,3,grejanje na gas,terasa,3,3,65 ,prizemlje,Stan u zgradi
1867,159650.0,Bistrica,3.5,grejanje na gas,terasa,3,3,80 ,6,Stan u zgradi
1868,63860.0,Veternička Rampa,1.5,grejanje na gas,terasa,3,3,27 ,visoko,Stan u zgradi
1869,82500.0,Telep,2,centralno grejanje,terasa,3,3,52 ,4,Stan u zgradi
1870,108150.0,Sajmište,2,centralno grejanje,terasa,3,3,41 ,visoko,Stan u zgradi
1871,46350.0,Grbavica,0.5,centralno grejanje,terasa,3,3,20 ,3,Stan u zgradi
